ticker,name,market_cap,breakout_date,resistance,support,breakout_close,max_gain_20d,success,box_range_pct,breakout_strength,volume_surge,volume_dry_up,close_strength,volatility_contraction,ma20_deviation,breakout_gap,ma200_slope,pct_above_52w_low,days_since_ath,market_return,rs_vs_market,atr_ratio,liquidity
267250,HD현대,19511291995000,2025-05-14,80800,66900,82100,54.69,1,20.7773,1.6089,1.2215,1.434,0.9091,1.5209,9.1392,0.1239,0.3272,29.6998,97,8.5439,6.2812,2.1576,13912980240
267250,HD현대,19511291995000,2025-05-21,82900,66900,84200,67.22,1,23.9163,1.5682,1.1642,1.1826,0.5769,1.5373,7.9072,0.4854,0.3968,32.3899,104,5.7244,11.8734,2.2056,11741935980
096770,SK이노베이션,19356544226000,2022-06-03,216469,188426,221881,9.09,0,14.8828,2.5001,2.3158,0.8078,0.9376,0.6925,9.3203,1.6242,-2.2452,19.6292,344,-0.2584,11.6165,2.4071,65300045747
096770,SK이노베이션,19356544226000,2022-06-07,221881,188426,232704,4.02,0,17.755,4.8778,3.4474,0.9379,1.0,0.906,14.0171,1.9952,-2.1306,25.4645,348,-0.6871,17.477,2.3253,86692200924
096770,SK이노베이션,19356544226000,2023-03-07,170223,145624,173962,10.24,0,16.8921,2.1965,2.3521,1.2191,0.7103,0.8206,9.5109,1.0714,-2.6,24.0698,271,1.0319,2.4202,3.2522,126434551898
096770,SK이노베이션,19356544226000,2023-03-30,173962,145624,184195,11.65,0,19.4597,5.8823,7.45,0.8393,0.7579,0.789,13.3995,1.2758,-2.6827,31.368,294,1.0425,15.5927,3.4646,112609260046
096770,SK이노베이션,19356544226000,2023-04-10,184195,147691,194527,5.72,0,24.7165,5.6093,2.0566,2.2216,0.8834,1.37,16.5445,3.0511,-2.917,38.7368,305,4.2097,8.0565,4.314,216046587685
096770,SK이노베이션,19356544226000,2025-03-12,135700,109100,138600,1.15,0,24.3813,2.1371,1.3008,1.2517,1.0,0.7116,7.986,-0.2232,1.7432,51.145,1,1.4088,13.2314,3.1952,47946697400
196170,알테오젠,19272183480000,2021-12-08,68482,56303,71568,3.73,0,21.6312,4.5063,2.0371,1.8139,0.8513,1.0249,18.7875,-0.0015,-2.884,29.0234,335,2.4446,10.4512,4.4372,40616224010
011200,HMM,19194892689500,2020-01-02,3655,3270,3750,5.6,0,11.7737,2.5992,3.6574,1.0887,0.907,0.8745,10.5054,0.1408,-2.1223,42.0455,317,3.9796,0.769,2.1143,2316435085
